Name,District,Municipality,Township,Line
Porto Campanha,PORTO,PORTO,Porto,Linha do Norte
Viana do Castelo,VIANA DO CASTELO,VIANA DO CASTELO,Viana do Castelo,Linha do Minho
Ermidas-Sado,SETuBAL,SANTIAGO DO CACeM,Ermidas-Sado,Linha do Sul
Faro,FARO,FARO,Faro,Linha do Algarve
Funcheira,BEJA,OURIQUE,Funcheira,Linha do Sul
Lisboa Oriente,LISBOA,LISBOA,Parque das Nacoes,Linha do Norte
Nine,BRAGA,FAMALICaO,Nine,Linha do Minho
Pinhal Novo,SETuBAL,PALMELA,Pinhal Novo,Linha do Sul
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Tunes,FARO,SILVES,Tunes,Linha do Sul
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
Silva,BRAGA,BARCELOS,Silva,Linha do Minho
Sao Pedro da Torre,VIANA DO CASTELO,VALENcA,Sao Pedro da Torre,Linha do Minho
Vila Nova da Rainha,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Estarreja,AVEIRO,ESTARREJA,Beduido e Veiros,Linha do Norte
Branca,AVEIRO,ALBERGARIA-A-VELHA,Branca,Linha do Vouga
Valongo-Vouga,AVEIRO,aGUEDA,Valongo do Vouga,Linha do Vouga
Mirao,PORTO,BAIaO,Santa Cruz do Douro e Sao Tome de Covelas,Linha do Douro
Oliveira,PORTO,AMARANTE,Vila Mea,Linha do Douro
Famalicao,BRAGA,VILA NOVA DE FAMALICaO,Vila Nova de Famalicao e Calendario,Linha do Minho
Covas,BRAGA,GUIMARaES,Urgezes,Linha de Guimaraes
Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Seica-Ourem,SANTAReM,OUReM,Seica,Linha do Norte
Alferrarede,SANTAReM,ABRANTES,Abrantes (Sao Vicente e Sao Joao) e Alferrarede,Linha da Beira Baixa
Fernando Po,SETuBAL,PALMELA,Poceirao e Marateca,Linha do Alentejo
Aveiro - Vouga,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
Sao Romao,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Freixo de Numao,GUARDA,VILA NOVA DE FOZ CoA,Vila Nova de Foz Coa,Linha do Douro
Benquerencas,CASTELO BRANCO,CASTELO BRANCO,Benquerencas,Linha da Beira Baixa
Fungalvaz Resguardo,SANTAReM,TOMAR,Madalena e Beselga,Linha do Norte
Alcainca-Moinhos,LISBOA,MAFRA,Malveira e Sao Miguel de Alcainca,Linha do Oeste
Pereirinhas,BRAGA,GUIMARaES,Moreira de Conegos,Linha de Guimaraes
Sao Frutuoso,PORTO,MAIA,Folgosa,Linha do Minho
Vila Franca de Xira,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira,Linha do Norte
Couto de Cucujaes,AVEIRO,OLIVEIRA DE AZEMeIS,Vila de Cucujaes,Linha do Vouga
Oliveira de Azemeis,AVEIRO,OLIVEIRA DE AZEMeIS,O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail,Linha do Vouga
